aditem-detail-title,aditem-detail-title href,display-desktop,list-location-region,tx,pillDiv href,ano,kms,die,ejes,cc,cmanual,cauto,gas
,,,,,,,,,,,,,
HONDA - CRV 2. 2 ICTDI COMFORT,https://www.milanuncios.com/honda-de-segunda-mano/honda-crv-2-2-ictdi-comfort-392783420.htm,Honda de segunda mano en Madrid,madrid,"Acabado exclusive,  cuero,  techo panorámico,  navegador,  pantalla táctil
revisado completo en nuestras instalaciones
km certificados
aceptamos su coche como parte de pago. Color Azul",https://www.milanuncios.com/honda-de-segunda-mano/honda-crv-2-2-ictdi-comfort-392783420.htm#fotos,año 2008,250.000 kms,diesel,5 puertas,140 cv,manual,,
PEUGEOT - 5008 ACCESS 1. 6 HDI 115 FAP,https://www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-access-1-6-hdi-115-fap-391527374.htm,Peugeot de segunda mano en Madrid,madrid,"Revisado completo en nuestrs instalaciones
buen estado en general
km certificados
recogemos su coche como parte de pago. Color Blanco",https://www.milanuncios.com/peugeot-de-segunda-mano/peugeot-5008-access-1-6-hdi-115-fap-391527374.htm#fotos,año 2013,210.000 kms,diesel,5 puertas,115 cv,manual,,
PEUGEOT - 508 SW ACCESS 1. 6 HDI 112CV,https://www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-sw-access-1-6-hdi-112cv-391526203.htm,Peugeot de segunda mano en Madrid,madrid,"Buen estado en general
km certificados
revisado completo en nuestras instalaciones
recogemos su coche como parte de pago. Color Gris / Plata",https://www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-sw-access-1-6-hdi-112cv-391526203.htm#fotos,año 2012,270.000 kms,diesel,5 puertas,112 cv,,automat,
FORD - CMAX 1. 6 TDCI 95 TREND,https://www.milanuncios.com/ford-de-segunda-mano/ford-cmax-1-6-tdci-95-trend-391523327.htm,Ford de segunda mano en Madrid,madrid,"Buen estado en  general
revisado completo en nuestras instalaciones
km certificados
recogemos su coche como parte de pago. Color Azul",https://www.milanuncios.com/ford-de-segunda-mano/ford-cmax-1-6-tdci-95-trend-391523327.htm#fotos,año 2014,198.000 kms,diesel,5 puertas,95 cv,manual,,
ALFA ROMEO - 159 1. 9 JTDM 16V 6M 150CV DISTINCTIVE,https://www.milanuncios.com/alfa-romeo-de-segunda-mano/alfa-romeo-159-1-9-jtdm-16v-6m-150cv-distinctive-391457418.htm,Alfa romeo de segunda mano en Madrid,madrid,"Revisado en nuestras instalaciones
muy buen estado
km certificados
recogemos su coche como parte de pago. Color Negro",https://www.milanuncios.com/alfa-romeo-de-segunda-mano/alfa-romeo-159-1-9-jtdm-16v-6m-150cv-distinctive-391457418.htm#fotos,año 2009,198.000 kms,diesel,4 puertas,150 cv,manual,,
BMW - SERIE 3 320D,https://www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-320d-396848817.htm,Bmw de segunda mano en Madrid,madrid,"Kilometros certificados
muy cuidado
revisado en nuestras instalaciones
aceptamos coche como parte de pago. Color Negro",https://www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-320d-396848817.htm#fotos,año 2010,91.000 kms,diesel,4 puertas,177 cv,manual,,
FORD - MONDEO,https://www.milanuncios.com/ford-de-segunda-mano/ford-mondeo-395296540.htm,Ford de segunda mano en Bilbao,Bilbao,"Diamond cars - begoña se vende ford mondeo  motor 2. 0 tdci de 136 cv 5 puertas . . . . se entraga con  transferencia incluida ….  año 2005 con un kilometraje de 320. 000 mil ….  mantenimientos siempre al dia tiene como extras ( cienrre con mando ,  climatizador ,  elevalunas ,  espejos electricos ,  llantas de aleaccion , 5 plazas ,   volante multifuncion ,  abs ,  radio cd ,  rudas al 90 % etc. . . .  ( se acepta coche o furgoneta como parte de pago ) mejor ver y provar un consumo de 5, 4l ….",https://www.milanuncios.com/ford-de-segunda-mano/ford-mondeo-395296540.htm#fotos,año 2005,320.000 kms,diesel,5 puertas,136 cv,manual,,
SEAT - LEÓN,https://www.milanuncios.com/seat-de-segunda-mano/seat-leon-394670244.htm,Seat de segunda mano en Bilbao,Bilbao,"Diamond cars - begoña se vende seat leon motor 1. 6 16v de 110 cv 5  PUERTAS . . . . se entraga con 6 meses  de garantia y transferencia incluida ….  año 2002 con un kilometraje de 215. 000 mil ….  mantenimientos siempre al dia tiene como extras ( cienrre con mando ,  aire acondicionado,  elevalunas ,  ESPEJOS ELECTRICOS ,  llantas de aleaccion ,  ABS ,  RADIO CD ,  dirección asistida  ,  rudas al 90 % etc. . . .  ( se acepta coche  o furgoneta  como parte de pago ) mejor ver y provar un consumo",https://www.milanuncios.com/seat-de-segunda-mano/seat-leon-394670244.htm#fotos,año 2002,215.000 kms,,5 puertas,110 cv,manual,,gasolina
MERCEDES-BENZ - VITO,https://www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-vito-395368227.htm,Mercedes benz de segunda mano en Bilbao,Bilbao,"Diamond cars - begoña se vende MERCEDES vito 112 cdi mixta  automático motor 2. 2 cdi de 122 cv 5  PUERTAS . . . . se entraga con 1 de garantia y transferencia incluida ….  año 2001 con un kilometraje de 297. 000 mil ….  mantenimientos siempre al dia tiene como extras ( cienrre con mando ,  aire acondicionado,  dirección asistida,   puerta corredera,   ABS ,  RADIO CD ,  dirección asistida  ,  rudas al 90 %  itv en vigor etc. . . .  ( se acepta coche  o furgoneta  como parte de pago ) mejor ver y",https://www.milanuncios.com/mercedes-benz-de-segunda-mano/mercedes-benz-vito-395368227.htm#fotos,año 2001,297.000 kms,diesel,5 puertas,122 cv,,automat,
